CRUISE6," ""CRUISE"""," ""STRATUM"""," ""TOW"""," ""STATION"""," ""STATUS_CODE"""," ""ID"""," ""SVSPP"""," ""CATCHSEX"""," ""LENGTH"""," ""EXPNUMLEN"""," ""SCIENTIFIC_NAME"""," ""LENGTH_COMMENT"""
198370,8370,04010,005,0003,10,198370040100050003,102,0,20,2,Hippoglossoides platessoides (American plaice), 
198370,8370,04010,005,0003,10,198370040100050003,102,0,24,2,Hippoglossoides platessoides (American plaice), 
198370,8370,04010,005,0003,10,198370040100050003,102,0,25,2,Hippoglossoides platessoides (American plaice), 
198370,8370,04010,005,0003,10,198370040100050003,102,0,26,2,Hippoglossoides platessoides (American plaice), 
198370,8370,04010,005,0003,10,198370040100050003,102,0,27,12,Hippoglossoides platessoides (American plaice), 
198370,8370,04010,005,0003,10,198370040100050003,102,0,30,2,Hippoglossoides platessoides (American plaice), 
198370,8370,04010,005,0003,10,198370040100050003,102,0,31,5,Hippoglossoides platessoides (American plaice), 
198370,8370,04010,005,0003,10,198370040100050003,102,0,32,2,Hippoglossoides platessoides (American plaice), 
198370,8370,04010,005,0003,10,198370040100050003,102,0,33,5,Hippoglossoides platessoides (American plaice), 
198370,8370,04010,005,0003,10,198370040100050003,102,0,34,2,Hippoglossoides platessoides (American plaice), 
198370,8370,04010,005,0003,10,198370040100050003,102,0,39,2,Hippoglossoides platessoides (American plaice), 
198370,8370,04010,005,0003,10,198370040100050003,102,0,40,2,Hippoglossoides platessoides (American plaice), 
198370,8370,04010,005,0003,10,198370040100050003,102,0,48,2,Hippoglossoides platessoides (American plaice), 
198370,8370,04010,005,0003,10,198370040100050003,102,0,49,2,Hippoglossoides platessoides (American plaice), 
198370,8370,04010,005,0003,10,198370040100050003,102,0,50,2,Hippoglossoides platessoides (American plaice), 
198370,8370,04010,005,0003,10,198370040100050003,102,0,51,2,Hippoglossoides platessoides (American plaice), 
198370,8370,04010,005,0003,10,198370040100050003,107,0,23,1,Glyptocephalus cynoglossus (witch flounder), 
198370,8370,04010,005,0003,10,198370040100050003,107,0,24,2,Glyptocephalus cynoglossus (witch flounder), 
198370,8370,04010,005,0003,10,198370040100050003,107,0,25,3,Glyptocephalus cynoglossus (witch flounder), 
198370,8370,04010,005,0003,10,198370040100050003,107,0,26,3,Glyptocephalus cynoglossus (witch flounder), 
198370,8370,04010,005,0003,10,198370040100050003,107,0,27,5,Glyptocephalus cynoglossus (witch flounder), 
198370,8370,04010,005,0003,10,198370040100050003,107,0,28,1,Glyptocephalus cynoglossus (witch flounder), 
198370,8370,04010,005,0003,10,198370040100050003,107,0,30,2,Glyptocephalus cynoglossus (witch flounder), 
198370,8370,04010,005,0003,10,198370040100050003,107,0,32,1,Glyptocephalus cynoglossus (witch flounder), 
198370,8370,04010,005,0003,10,198370040100050003,107,0,33,2,Glyptocephalus cynoglossus (witch flounder), 
198370,8370,04010,005,0003,10,198370040100050003,107,0,35,1,Glyptocephalus cynoglossus (witch flounder), 
